UHI,NDVI,NDBI,NDWI,SI,NDMI,NPCRI,Coastal_Aerosol,Building_Count,Total_Building_Area_m2,Building_Density,Building_Height,Building_Construction_Year,Ground_Elevation,Traffic_Volume,Air Temp at Surface [degC],Relative Humidity [percent],Avg Wind Speed [m/s],Wind Direction [degrees],Solar Flux [W/m^2]
1.030288903,0.2371195409418549,-0.006296414798160512,-0.26525786601323775,0.24308000596253512,0.006296414798160512,0.11043477865050773,995.6117647058824,17,4852.480955223137,0.27503585024400806,55.56541240882353,1943.3125,34.705882352941174,51.140625,27.49230769230769,44.61538461538461,3.0999999999999996,135.07692307692307,445.6923076923077
1.030288903,0.24733305523483295,-0.011219612311042924,-0.27473758813090743,0.24905163380223475,0.011219612311042924,0.11056903660542787,995.7401069518717,18,5018.034487371431,0.2844193299303004,55.23233394166667,1942.5882352941176,34.5,51.140625,27.49230769230769,44.61538461538461,3.0999999999999996,135.07692307692307,445.6923076923077
1.023797758,0.25923619667870407,-0.014956019613627776,-0.284596851106994,0.25796180777888833,0.014956019613627776,0.10974631232820342,994.9166666666666,18,5203.28764848483,0.2949193733412553,53.74622283055556,1937.235294117647,34.333333333333336,51.140625,27.49230769230769,44.61538461538461,3.0999999999999996,135.07692307692307,445.6923076923077
1.023797758,0.2730964138259492,-0.019818333522306705,-0.29572096751882293,0.26782352842344487,0.019818333522306705,0.10837067114048994,993.7855603448276,19,5365.20460418891,0.3040967339515951,51.683790050000006,1930.5555555555557,34.31578947368421,51.140625,27.49230769230769,44.61538461538461,3.0999999999999996,135.07692307692307,445.6923076923077
1.021634043,0.2792550232928388,-0.02300822871588945,-0.29967003183050084,0.27103631302729086,0.02300822871588945,0.10572664251438917,997.9292604501608,21,5420.479904857936,0.30722970643580694,51.14009575952381,1929.45,34.285714285714285,51.140625,27.49230769230769,44.61538461538461,3.0999999999999996,135.07692307692307,445.6923076923077
1.021634043,0.28693035004511286,-0.026162019726032323,-0.3042733438427082,0.27653518216737544,0.026162019726032323,0.10248419075138779,998.3615879828326,23,5519.159324915443,0.31282279962923076,52.702261345652175,1928.4782608695652,34.08695652173913,51.140625,27.49230769230769,44.61538461538461,3.0999999999999996,135.07692307692307,445.6923076923077
1.015142899,0.2913757624716341,-0.024787602654539533,-0.30656602648356135,0.28312737073898625,0.024787602654539533,0.09811743829210681,1001.9989293361884,25,5813.592837272825,0.3295111230154296,51.830080437999996,1925.68,34.16,51.140625,27.49230769230769,44.61538461538461,3.0999999999999996,135.07692307692307,445.6923076923077
1.015142899,0.293574055875189,-0.02381802527198868,-0.30708091836662194,0.28682541423940083,0.02381802527198868,0.09438436340698227,1002.8036480686695,27,6225.569978542012,0.3528617521831486,50.62044485,1924.8148148148148,34.148148148148145,51.140625,27.49230769230769,44.61538461538461,3.0999999999999996,135.07692307692307,445.6923076923077
1.012979184,0.2899979522266583,-0.021316852434170547,-0.30178747541922224,0.28541667681936744,0.021316852434170547,0.09074029755040434,1017.0781584582442,31,6742.34696906616,0.38215237697761173,44.86722077387097,1925.258064516129,34.32258064516129,51.140625,27.49230769230769,44.61538461538461,3.0999999999999996,135.07692307692307,445.6923076923077
1.012979184,0.2747537480956765,-0.012879141725224925,-0.28819930674529187,0.2765714661642283,0.012879141725224925,0.08826457501946312,1039.4308681672026,31,7120.195755060703,0.40356863045188185,44.60334980612903,1925.258064516129,34.354838709677416,51.140625,27.49230769230769,44.61538461538461,3.0999999999999996,135.07692307692307,445.6923076923077
1.010815469,0.24889905430627687,-0.0017187932274199892,-0.2661345113702712,0.25791259285334034,0.0017187932274199892,0.08710635448432026,1068.71858216971,32,7254.348136797813,0.41117231086166206,46.0844951246875,1928.3125,34.5,51.140625,27.49230769230769,44.61538461538461,3.0999999999999996,135.07692307692307,445.6923076923077
1.010815469,0.237206146579603,0.0035959780597460537,-0.2563616827583806,0.24980530679664895,-0.0035959780597460537,0.0875781656697653,1078.7049356223176,31,7149.369504083874,0.40522218189128645,46.876575612580645,1927.9354838709678,34.483870967741936,51.140625,26.75384615384616,48.35384615384616,2.946153846153846,171.07692307692307,441.0
