UHI,NDVI,NDBI,NDWI,SI,NDMI,NPCRI,Coastal_Aerosol,Building_Count,Total_Building_Area_m2,Building_Density,Building_Height,Building_Construction_Year,Ground_Elevation,Air Temp at Surface [degC],Relative Humidity [percent],Avg Wind Speed [m/s],Wind Direction [degrees],Solar Flux [W/m^2]
1.030288903,0.25887424639109935,-0.012209064305839547,-0.28574068767891053,0.2615449252819355,0.012209064305839547,0.11573346456400302,967.8644067796611,10,1350.5275115488362,0.1722310387504535,48.974384398999995,1930.3333333333333,34.5,27.2,47.3,2.6,165.0,621.0
1.030288903,0.28047085117501647,-0.021768775225184812,-0.30361653604184413,0.275322373533896,0.021768775225184812,0.11356150937381135,962.1210653753027,10,1442.254349443468,0.18392884456161354,48.974384398999995,1930.3333333333333,34.5,27.2,47.3,2.6,165.0,621.0
1.023797758,0.3001004506305215,-0.03142444702632203,-0.3184787349240702,0.2868114157602451,0.03142444702632203,0.10865793722274147,955.6947115384615,11,1626.2093664074127,0.20738839157925493,47.39489490818182,1930.4545454545455,34.63636363636363,27.2,47.3,2.6,165.0,621.0
1.023797758,0.3148369056713923,-0.036680184767903315,-0.32823074609264835,0.29663605804497195,0.036680184767903315,0.10462278807585466,950.7004830917874,10,1940.4497011918065,0.24746305782090738,47.572384399,1927.5,34.3,27.2,47.3,2.6,165.0,621.0
1.021634043,0.3218452140812803,-0.03708475984313951,-0.3322497123979834,0.3028824713440549,0.03708475984313951,0.10225445584378726,953.3381294964029,11,2291.9341238691827,0.2922874147525344,47.75398581727272,1927.8181818181818,34.0,27.2,47.3,2.6,165.0,621.0
1.021634043,0.3221976243619568,-0.03260017468930928,-0.33231653982962445,0.306026054304138,0.03260017468930928,0.1000226615604238,965.7257281553398,12,2646.42289114189,0.33749491189043007,47.79532033249999,1928.0833333333333,33.916666666666664,27.2,47.3,2.6,165.0,621.0
1.015142899,0.3154077198375358,-0.022540511641641177,-0.3259737810369044,0.3072459667326587,0.022540511641641177,0.09730922912785951,979.3093525179856,13,2865.997479258933,0.3654969770638645,47.87183415307691,1928.3076923076924,33.84615384615385,27.2,47.3,2.6,165.0,621.0
1.015142899,0.2993764904031948,-0.01398145106012861,-0.3124401988553359,0.2964357026195662,0.01398145106012861,0.09682087511464682,989.6913875598086,13,2916.057516998066,0.3718810693706743,49.06798799923077,1929.923076923077,33.61538461538461,27.2,47.3,2.6,165.0,621.0
1.012979184,0.27264980886792983,-0.002283991443299523,-0.28843129394667505,0.27797337326860827,0.002283991443299523,0.09548008277873268,1013.1750599520384,13,3006.8147750698345,0.38345522591184483,53.63337261461538,1931.2307692307693,33.07692307692308,27.2,47.3,2.6,165.0,621.0
1.012979184,0.24312808025752472,0.00984447562782093,-0.2631269551852799,0.25767555544980786,-0.00984447562782093,0.09473875241374387,1041.0144578313252,13,3143.107048163724,0.40083640442964064,56.039526460769224,1931.2307692307693,33.0,27.2,47.3,2.6,165.0,621.0
